session,n,n_edges_r,n_edges_s,layout_time,r_mantel_p,r_mantel_s,r_procr,r_knn_err,s_mantel_p,s_mantel_s,s_procr,s_knn_err,baseline_err
NOF_H26_4D,2354,216239,381986,13.16102409362793,0.21601181279625473,0.21771531872371813,0.8457234336842516,14.978634579649095,0.037428394672021595,0.03227141494401005,0.99117768043345,20.952689615735046,21.833303356972873
NOF_H27_1D,3550,419346,684173,22.394879579544067,0.24479099717014163,0.23619694262335972,0.864101678221069,12.267733168516232,0.02214236275168699,0.02174392294593953,0.9968217681469531,16.671302855648857,15.695083796946886
NOF_H27_2D,3548,509866,780967,23.965346574783325,0.1861551332354221,0.197843901280843,0.8489160372040838,12.380403116579041,0.02817378873659789,0.02395443316077105,0.9843100273450597,16.64090391188095,17.332771898028252
NOF_H27_3D,3540,324022,524159,21.483943223953247,0.24607353504851778,0.2520290104098768,0.6964268006982134,10.251609877229042,0.13157806853306908,0.13387015244467557,0.8616504475586508,13.728178149305506,20.20950753357618
NOF_H27_4D,3544,435729,683911,24.786483764648438,0.35141178921925126,0.3640315857688578,0.6420690457361423,8.830405126954298,0.3312050631014781,0.328655733356912,0.7218493891328515,10.615778359207441,20.577919413967702
NOF_H31_1D,2358,161508,220352,11.885114192962646,0.3647374111115383,0.3602318967726878,0.748016953026794,9.25178641781353,0.07141703542299821,0.0682485839675038,0.9856562506823401,15.772605536699189,17.440940172111628
NOF_H31_2D,2360,161663,227968,12.15035080909729,0.6017184327383169,0.6005986032722078,0.31911888813301625,6.68730267075973,0.05283710664817243,0.04835897805724645,0.9609579062063138,18.00739225301568,18.26815436390581
NOF_H31_3D,2356,155027,221159,11.571016311645508,0.3653520811012891,0.368264414395565,0.5468556296461788,5.18294624053614,0.13767484346417178,0.14508528943287297,0.832764711080779,11.817191392808212,15.256349951370003
NOF_H31_4D,2358,143454,191086,11.323169469833374,0.6141890469353458,0.6248381814538206,0.31949033685426137,6.774313701197132,0.0796757847295351,0.07328562317228932,0.9730963366914617,17.587892077537436,18.377947921651003
NOF_H32_1D,2352,145029,171627,11.26070785522461,0.5006818202911368,0.5013765601126738,0.48005327829589234,10.38121033359466,0.019446834548321572,0.020764143208672047,0.9956717291138033,17.458552067486163,17.983903194213045
NOF_H32_2D,2352,174000,201416,11.53682804107666,0.3891660608152037,0.420985402514629,0.7092629242287252,8.50606738213181,0.1541637887660574,0.14731462076956034,0.9092882299350082,16.324162463061132,20.370926541437473
NOF_H32_3D,2354,137744,176534,10.905741453170776,0.42138516732512393,0.4160428446681367,0.45202977094922314,5.817192503270757,0.20014900892450807,0.20146841057328146,0.8488213754978906,12.214773476280651,17.89336939042526
NOF_H32_4D,2350,149762,173083,11.417271375656128,0.44253216966450387,0.6220406835971787,0.7790295421531512,2.088926033943378,0.014549528026770836,0.33832640358277727,0.9393891159412276,2.2936136698449703,4.909416520559762
NOF_H33_1D,3548,410983,519322,20.769248723983765,0.3897049757152265,0.3800114650470234,0.6010962302936653,10.593993358451666,0.012470590157298744,0.009171737387175163,0.9911561539631178,17.715482632619334,17.759270456478877
NOF_H33_2D,3546,328652,418155,19.706175327301025,0.540058645869552,0.55514946539229,0.4190882653510374,5.1892471142085626,0.21009840800106042,0.21778684696545114,0.8379134061402228,10.629410369227498,14.267528973860607
NOF_H33_3D,3542,358913,479782,20.131751537322998,0.14777920552937787,0.4967396151051411,0.9384008910003229,0.9310368915431144,0.15784787765255529,0.503831292416316,0.840700166393602,1.1045395631534112,4.256887178163459
NOF_H33_4D,3546,460122,599313,21.93543553352356,0.29392748301036176,0.29798421645709344,0.6921820916734915,7.1875259238709575,0.04257182356495447,0.04728116638136085,0.9828015134993905,15.1099998980043,15.480561684553162
NOF_H36_1D,3550,414544,561274,21.877707719802856,0.2353734238703097,0.23123867556463193,0.7426512506610656,12.877033152436809,0.03260064046917769,0.03133310840978186,0.9830315783398992,16.471274307079845,16.378678392859143
NOF_H36_2D,3550,317000,410127,20.946208477020264,0.25631985439715227,0.25850351438321434,0.7624602199589774,12.297858987778465,-0.00843217501364221,-0.008499005766624752,0.9916079463165988,17.478600816411255,17.462057357725147
NOF_H36_3D,3544,392283,523275,20.96998357772827,0.2516670116601163,0.30356912660435315,0.8182524096754015,6.194044519052521,0.3283369034188002,0.3588207214746994,0.7235100190804625,6.619927114209123,14.44699987155161
NOF_H36_4D,3546,336968,431679,20.84857988357544,0.18980205054118418,0.21148737920672062,0.7743114332115582,9.695855900842592,0.053732082670666904,0.053833440822072615,0.9171468277395697,15.745461111321179,17.38034676075553
NOF_H39_1D,3554,380008,383221,20.373701572418213,0.48868928541143186,0.4763758005507986,0.437719512208093,7.380604752621416,0.015581922249257961,0.016109626449757226,0.9875480597257889,15.089511002488445,15.830041759456554
NOF_H39_2D,3554,326187,343695,20.334363222122192,0.33181181847494395,0.37467587188780194,0.5108518870463565,5.892699552730478,0.1080455201253699,0.10525641394936842,0.9672893477963677,12.443785826369872,18.238405683685155
NOF_H39_3D,3554,350131,506586,20.235581636428833,0.49655749134044447,0.5103105732638581,0.4487768269908671,8.36678341161843,0.12272367964387067,0.11906435029674026,0.9378020866256751,16.793961460557412,20.154459032056728
NOF_H39_4D,3550,405782,475846,21.19340705871582,0.35283863146790917,0.4573401466233425,0.7200844293759245,1.5307731556067778,0.3068930818608181,0.4546728209883513,0.7391813890923191,1.3247214285737359,3.8366700415009145
